OSMAN  HUSSEIN MOHAMED,25  T,2350 W. OGDEN AVE.,CHICAGO,IL,60608,19940222,1966232654,Osman-Hussein-Mohamed@gmail.Com
MOHAMMED  AMER A,53 P,2350 W. OGDEN AVE.,Charleston,WV,60608,19600615,1895152628,Mohammed-Amer-A@gmail.Com
CHULUUNBAATAR  ENKHEE,13 E,2350 W. OGDEN AVE.,Des Moines,IA,60608,19660504,1979330660,Chulunbaatar-Enkhee@gmail.Com
RODRIGUEZ  JOSE A,,4720 S. WOODLAWN AVE.,Montgomery,AL,60615,19741015,1579256694,Rodriguez-Jose-A@gmail.Com
YEMANE TESFAY  ABEL,72 D,4400 S. RACINE AVE.,Bismarck,ND,60609,19830410,1958966185,Yemane-Tesfay-Abel@gmail.Com
SHAIKH NUR  IBRAHIM,,5200 N. OTTO AVE.,Jacksonville,FL,60656,19830324,1510368239,Shaikh-Nur-Ibrahim@gmail.Com
SOTO  DAVID,54 P,3351 W. ADDISON ST.,Montgomery,AL,60618,20000126,1287331967,Soto-David@gmail.Com
LAURENT  TROY H,67 R,510 W. BELMONT AVE.,Raleigh,NC,60657,19590206,1554855145,Laurent-Troy-H@gmail.Com
SOOS  HAMZA A,79 C,4175 N. ELSTON AVE.,Montgomery,AL,60618,19740805,1807360283,Soos-Hamza-A@gmail.Com
MULLIGAN  THOMAS N,22 L,2738 W. FULTON ST.,Bismarck,ND,60612,19670324,1748894701,Mulligan-Thomas-N@gmail.Com
RIZWANULLAH  MOHAMMED,33 P,2738 W. FULTON ST.,Jacksonville,FL,60612,19841115,1769534264,Rizwanullah-Mohammed@gmail.Com
ALABI  OLUDARE S,10 Q,6210 S. INGLESIDE AVE.,Montgomery,AL,60637,19670424,1829796511,Alabi-Oludare-S@gmail.Com
SINGH  GAGANDEEP,83 S,8645 S. CREGIER AVE.,Raleigh,NC,60617,19730309,1464470771,Singh-Gagandeep@gmail.Com
ALI  YUSUF M,95 M,2617 S. WABASH AVE.,CHICAGO,IL,60616,20020124,1866208465,Ali-Yusuf@gmail.Com
GAZIJA  ISMIR,46 K,5550 N. ELSTON AVE.,Charleston,WV,60630,20000816,1193812531,Gazija-Ismir@gmail.Com
ROBINSON  EDWARD,89 H,40 E. CHICAGO AVE.,CHICAGO,IL,60611,20010711,1364297994,Robinson-Edward@gmail.Com
FELE  MOHAMED T,46 J,7650 S. YATES BLVD.,CHICAGO,IL,60649,19861015,1749935603,Fele-Mohamed-T@gmail.Com
SAVASER  CAESAR,23 F,2627 N. MILDRED AVE.,Des Moines,IA,60614,19940917,1281715506,Savaser-Caesar@yahoo.Com
